2024-04-21 18:03:22.169: Namespace(name='usps', cuda=True, n_z=10, alpha=0.1, beta=0.05, lr=0.001, n_clusters=10, n_input=256)				
2024-04-21 18:03:22.169: metrics:	 acc	 nmi	 ari	 f1
2024-04-21 18:04:04.198: epoch125 Q1:	0.7656	0.7627	0.6907	0.7479
2024-04-21 18:04:04.575: epoch126 Q1:	0.7669	0.7619	0.6906	0.748
2024-04-21 18:04:04.947: epoch127 Q1:	0.7664	0.7624	0.6906	0.7483
2024-04-21 18:04:05.259: epoch128 Q1:	0.7668	0.763	0.6909	0.748
2024-04-21 18:04:05.571: epoch129 Q1:	0.7679	0.7616	0.6902	0.7478
2024-04-21 18:04:05.944: epoch130 Q1:	0.7664	0.764	0.6915	0.7485
2024-04-21 18:04:06.256: epoch131 Q1:	0.7693	0.7641	0.6921	0.7489
2024-04-21 18:04:06.631: epoch132 Q1:	0.7686	0.764	0.6917	0.7483
2024-04-21 18:04:06.942: epoch133 Q1:	0.7672	0.7635	0.691	0.7483
2024-04-21 18:04:07.258: epoch134 Q1:	0.7687	0.7643	0.6917	0.7484
2024-04-21 18:04:07.570: epoch135 Q1:	0.7691	0.7649	0.6918	0.7483
2024-04-21 18:04:07.881: epoch136 Q1:	0.7687	0.7627	0.6908	0.7486
2024-04-21 18:04:08.192: epoch137 Q1:	0.7691	0.7632	0.6912	0.7487
2024-04-21 18:04:08.502: epoch138 Q1:	0.7692	0.7644	0.6914	0.7481
2024-04-21 18:04:08.815: epoch139 Q1:	0.7696	0.763	0.6905	0.7483
2024-04-21 18:04:09.187: epoch140 Q1:	0.7695	0.7628	0.6906	0.7484
2024-04-21 18:04:09.497: epoch141 Q1:	0.7697	0.7637	0.6912	0.7483
2024-04-21 18:04:09.878: epoch142 Q1:	0.7703	0.7645	0.6916	0.7481
2024-04-21 18:04:10.251: epoch143 Q1:	0.7705	0.7649	0.6921	0.7488
2024-04-21 18:04:10.626: epoch144 Q1:	0.772	0.7659	0.6934	0.7497
2024-04-21 18:04:10.999: epoch145 Q1:	0.7722	0.7654	0.6932	0.7492
